track_number,artist,title,album,old_filename,new_filename,image
1,The Band,First Song,Greatest Hits,01 Track 1.mp3,01 - First Song.mp3,cover.jpg
1,The Smiths,The Queen Is Dead,Rank,02 Track 2.mp3,01 - The Queen Is Dead.mp3,cover.jpg
2,The Smiths,Panic,Rank,03 Track 3.mp3,02 - Panic.mp3,cover.jpg
3,The Smiths,Vicar in a Tutu,Rank,04 Track 4.mp3,03 - Vicar in a Tutu.mp3,cover.jpg
4,The Smiths,Ask,Rank,05 Track 5.mp3,04 - Ask.mp3,cover.jpg
5,The Smiths,His Latest Flame / Rusholme Ruffians,Rank,06 Track 6.mp3,05 - His Latest Flame _ Rusholme Ruffians.mp3,cover.jpg
6,The Smiths,The Boy with the Thorn in His Side,Rank,07 Track 7.mp3,06 - The Boy with the Thorn in His Side.mp3,cover.jpg
7,The Smiths,What She Said,Rank,08 Track 8.mp3,07 - What She Said.mp3,cover.jpg
8,The Smiths,Is It Really So Strange?,Rank,09 Track 9.mp3,08 - Is It Really So Strange.mp3,cover.jpg
9,The Smiths,Cemetry Gates,Rank,10 Track 10.mp3,09 - Cemetry Gates.mp3,cover.jpg
10,The Smiths,London,Rank,11 Track 11.mp3,10 - London.mp3,cover.jpg
11,The Smiths,I Know It's Over,Rank,12 Track 12.mp3,11 - I Know It's Over.mp3,cover.jpg
12,The Smiths,The Draize Train,Rank,13 Track 13.mp3,12 - The Draize Train.mp3,cover.jpg
13,The Smiths,Still Ill,Rank,14 Track 14.mp3,13 - Still Ill.mp3,cover.jpg
14,The Smiths,Bigmouth Strikes Again,Rank,15 Track 15.mp3,14 - Bigmouth Strikes Again.mp3,cover.jpg
